,RMSE,bsl_options,params,scores
0,0.8956078924524971,"{'method': 'als', 'n_epochs': 10, 'reg_u': 1, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 1, 'reg_i': 1}}","{'RMSE': 0.89560789245249706, 'MAE': 0.68992189274363658, 'FCP': 0.66586561973528879}"
1,0.8943565619824227,"{'method': 'als', 'n_epochs': 10, 'reg_u': 1, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 1, 'reg_i': 5}}","{'RMSE': 0.89435656198242275, 'MAE': 0.69124335054362707, 'FCP': 0.6659652254358378}"
2,0.9003040504281625,"{'method': 'als', 'n_epochs': 10, 'reg_u': 1, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 1, 'reg_i': 10}}","{'RMSE': 0.90030405042816253, 'MAE': 0.69704561819590627, 'FCP': 0.66387123362511669}"
3,0.9411164668366933,"{'method': 'als', 'n_epochs': 10, 'reg_u': 1, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 1, 'reg_i': 100}}","{'RMSE': 0.94111646683669326, 'MAE': 0.7336017879796024, 'FCP': 0.65248113671521923}"
4,0.8954452764706735,"{'method': 'als', 'n_epochs': 10, 'reg_u': 5, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 5, 'reg_i': 1}}","{'RMSE': 0.89544527647067351, 'MAE': 0.69010114526287381, 'FCP': 0.66584642397621585}"
5,0.8941590226390854,"{'method': 'als', 'n_epochs': 10, 'reg_u': 5, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 5, 'reg_i': 5}}","{'RMSE': 0.89415902263908542, 'MAE': 0.69132496024346468, 'FCP': 0.66581158713646604}"
6,0.9000622476795744,"{'method': 'als', 'n_epochs': 10, 'reg_u': 5, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 5, 'reg_i': 10}}","{'RMSE': 0.90006224767957443, 'MAE': 0.69714442987914271, 'FCP': 0.66379722237324645}"
7,0.9406991010666687,"{'method': 'als', 'n_epochs': 10, 'reg_u': 5, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 5, 'reg_i': 100}}","{'RMSE': 0.94069910106666865, 'MAE': 0.73384068928055179, 'FCP': 0.65243985974714014}"
8,0.8965082011882419,"{'method': 'als', 'n_epochs': 10, 'reg_u': 15, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 15, 'reg_i': 1}}","{'RMSE': 0.89650820118824193, 'MAE': 0.69135568489635646, 'FCP': 0.66578643151165617}"
9,0.8951011855101288,"{'method': 'als', 'n_epochs': 10, 'reg_u': 15, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 15, 'reg_i': 5}}","{'RMSE': 0.89510118551012885, 'MAE': 0.69242917006809912, 'FCP': 0.66611603604436787}"
10,0.9008870906739848,"{'method': 'als', 'n_epochs': 10, 'reg_u': 15, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 15, 'reg_i': 10}}","{'RMSE': 0.90088709067398476, 'MAE': 0.69823396117034231, 'FCP': 0.66366183989870664}"
11,0.9411894977882523,"{'method': 'als', 'n_epochs': 10, 'reg_u': 15, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 15, 'reg_i': 100}}","{'RMSE': 0.94118949778825234, 'MAE': 0.73541166601324259, 'FCP': 0.65298027224594779}"
12,0.9086481042599701,"{'method': 'als', 'n_epochs': 10, 'reg_u': 100, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 100, 'reg_i': 1}}","{'RMSE': 0.90864810425997011, 'MAE': 0.7016022209881505, 'FCP': 0.66468656115686797}"
13,0.9065442562645177,"{'method': 'als', 'n_epochs': 10, 'reg_u': 100, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 100, 'reg_i': 5}}","{'RMSE': 0.90654425626451773, 'MAE': 0.70212112487300915, 'FCP': 0.66571968258885161}"
14,0.9118450493566991,"{'method': 'als', 'n_epochs': 10, 'reg_u': 100, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 100, 'reg_i': 10}}","{'RMSE': 0.91184504935669908, 'MAE': 0.70806622445830603, 'FCP': 0.66404501799001181}"
15,0.951190294884598,"{'method': 'als', 'n_epochs': 10, 'reg_u': 100, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 10, 'reg_u': 100, 'reg_i': 100}}","{'RMSE': 0.95119029488459805, 'MAE': 0.74880149962845421, 'FCP': 0.65435202643806512}"
16,0.895408873982762,"{'method': 'als', 'n_epochs': 20, 'reg_u': 1, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 1, 'reg_i': 1}}","{'RMSE': 0.89540887398276203, 'MAE': 0.68988655359448359, 'FCP': 0.66618819477872149}"
17,0.894268942589504,"{'method': 'als', 'n_epochs': 20, 'reg_u': 1, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 1, 'reg_i': 5}}","{'RMSE': 0.89426894258950396, 'MAE': 0.69120490378779142, 'FCP': 0.66585026956179438}"
18,0.9002722109503271,"{'method': 'als', 'n_epochs': 20, 'reg_u': 1, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 1, 'reg_i': 10}}","{'RMSE': 0.90027221095032706, 'MAE': 0.69702639409621292, 'FCP': 0.66392465476835771}"
19,0.9411164660217052,"{'method': 'als', 'n_epochs': 20, 'reg_u': 1, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 1, 'reg_i': 100}}","{'RMSE': 0.94111646602170518, 'MAE': 0.73360178735066051, 'FCP': 0.65248113671521923}"
20,0.895286030767517,"{'method': 'als', 'n_epochs': 20, 'reg_u': 5, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 5, 'reg_i': 1}}","{'RMSE': 0.895286030767517, 'MAE': 0.69001217711457064, 'FCP': 0.6660760148317062}"
21,0.8940943696325794,"{'method': 'als', 'n_epochs': 20, 'reg_u': 5, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 5, 'reg_i': 5}}","{'RMSE': 0.89409436963257938, 'MAE': 0.69128314303967087, 'FCP': 0.66595298417564075}"
22,0.900039306712723,"{'method': 'als', 'n_epochs': 20, 'reg_u': 5, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 5, 'reg_i': 10}}","{'RMSE': 0.90003930671272303, 'MAE': 0.69712754160213497, 'FCP': 0.66379066085515104}"
23,0.9406991001495527,"{'method': 'als', 'n_epochs': 20, 'reg_u': 5, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 5, 'reg_i': 100}}","{'RMSE': 0.94069910014955271, 'MAE': 0.73384068853475726, 'FCP': 0.65243985974714014}"
24,0.8964175331259803,"{'method': 'als', 'n_epochs': 20, 'reg_u': 15, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 15, 'reg_i': 1}}","{'RMSE': 0.89641753312598027, 'MAE': 0.69124245169282594, 'FCP': 0.66591186600464636}"
25,0.8950682727960763,"{'method': 'als', 'n_epochs': 20, 'reg_u': 15, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 15, 'reg_i': 5}}","{'RMSE': 0.89506827279607626, 'MAE': 0.69239429700070332, 'FCP': 0.66612510250307344}"
26,0.9008756233257833,"{'method': 'als', 'n_epochs': 20, 'reg_u': 15, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 15, 'reg_i': 10}}","{'RMSE': 0.9008756233257833, 'MAE': 0.69822235696702828, 'FCP': 0.6637007067637255}"
27,0.9411894970886315,"{'method': 'als', 'n_epochs': 20, 'reg_u': 15, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 15, 'reg_i': 100}}","{'RMSE': 0.94118949708863153, 'MAE': 0.73541166537773917, 'FCP': 0.65298027224594779}"
28,0.9086416689048231,"{'method': 'als', 'n_epochs': 20, 'reg_u': 100, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 100, 'reg_i': 1}}","{'RMSE': 0.90864166890482312, 'MAE': 0.70157963134084522, 'FCP': 0.6647362718030162}"
29,0.9065428749249422,"{'method': 'als', 'n_epochs': 20, 'reg_u': 100, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 100, 'reg_i': 5}}","{'RMSE': 0.90654287492494223, 'MAE': 0.7021172049657981, 'FCP': 0.66571931521707961}"
30,0.9118446121102917,"{'method': 'als', 'n_epochs': 20, 'reg_u': 100, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 100, 'reg_i': 10}}","{'RMSE': 0.91184461211029166, 'MAE': 0.70806525543308008, 'FCP': 0.66401419159852204}"
31,0.9511902948470258,"{'method': 'als', 'n_epochs': 20, 'reg_u': 100, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 20, 'reg_u': 100, 'reg_i': 100}}","{'RMSE': 0.95119029484702577, 'MAE': 0.74880149957817699, 'FCP': 0.65435202643806512}"
32,0.8953081647905254,"{'method': 'als', 'n_epochs': 50, 'reg_u': 1, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 1, 'reg_i': 1}}","{'RMSE': 0.89530816479052544, 'MAE': 0.68988303001875528, 'FCP': 0.66621556466500831}"
33,0.8942616475087,"{'method': 'als', 'n_epochs': 50, 'reg_u': 1, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 1, 'reg_i': 5}}","{'RMSE': 0.89426164750869996, 'MAE': 0.6912018991176514, 'FCP': 0.66585963842729368}"
34,0.9002715063800103,"{'method': 'als', 'n_epochs': 50, 'reg_u': 1, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 1, 'reg_i': 10}}","{'RMSE': 0.9002715063800103, 'MAE': 0.69702597064334793, 'FCP': 0.66392633011641211}"
35,0.9411164660217025,"{'method': 'als', 'n_epochs': 50, 'reg_u': 1, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 1, 'reg_i': 100}}","{'RMSE': 0.94111646602170251, 'MAE': 0.73360178735065862, 'FCP': 0.65248113671521923}"
36,0.8952295458689278,"{'method': 'als', 'n_epochs': 50, 'reg_u': 5, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 5, 'reg_i': 1}}","{'RMSE': 0.89522954586892778, 'MAE': 0.68997963887616809, 'FCP': 0.66620491791796077}"
37,0.8940906508492434,"{'method': 'als', 'n_epochs': 50, 'reg_u': 5, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 5, 'reg_i': 5}}","{'RMSE': 0.89409065084924344, 'MAE': 0.69128075391831212, 'FCP': 0.66594709143439412}"
38,0.9000389620206469,"{'method': 'als', 'n_epochs': 50, 'reg_u': 5, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 5, 'reg_i': 10}}","{'RMSE': 0.90003896202064693, 'MAE': 0.69712728997656681, 'FCP': 0.66381019243491024}"
39,0.9406991001495509,"{'method': 'als', 'n_epochs': 50, 'reg_u': 5, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 5, 'reg_i': 100}}","{'RMSE': 0.94069910014955094, 'MAE': 0.73384068853475581, 'FCP': 0.65243985974714014}"
40,0.8964023998606704,"{'method': 'als', 'n_epochs': 50, 'reg_u': 15, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 15, 'reg_i': 1}}","{'RMSE': 0.89640239986067038, 'MAE': 0.69122276251032222, 'FCP': 0.66586290247841928}"
41,0.8950673736721193,"{'method': 'als', 'n_epochs': 50, 'reg_u': 15, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 15, 'reg_i': 5}}","{'RMSE': 0.8950673736721193, 'MAE': 0.69239333751671472, 'FCP': 0.66612588283931562}"
42,0.9008755442484253,"{'method': 'als', 'n_epochs': 50, 'reg_u': 15, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 15, 'reg_i': 10}}","{'RMSE': 0.90087554424842531, 'MAE': 0.69822227693340477, 'FCP': 0.66370104085058146}"
43,0.941189497088631,"{'method': 'als', 'n_epochs': 50, 'reg_u': 15, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 15, 'reg_i': 100}}","{'RMSE': 0.94118949708863098, 'MAE': 0.7354116653777385, 'FCP': 0.65298027224594779}"
44,0.9086416234772535,"{'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 1}}","{'RMSE': 0.90864162347725352, 'MAE': 0.70157947057979375, 'FCP': 0.66473795433042626}"
45,0.9065428736711534,"{'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 5}}","{'RMSE': 0.90654287367115338, 'MAE': 0.70211720140148759, 'FCP': 0.66571931521707961}"
46,0.9118446120254695,"{'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 10}}","{'RMSE': 0.91184461202546951, 'MAE': 0.70806525524497876, 'FCP': 0.66401419159852204}"
47,0.9511902948470258,"{'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 100}}","{'RMSE': 0.95119029484702577, 'MAE': 0.74880149957817699, 'FCP': 0.65435202643806512}"
48,0.8953013255756271,"{'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 1}}","{'RMSE': 0.89530132557562714, 'MAE': 0.68988370465761595, 'FCP': 0.66628020391233889}"
49,0.894261643756842,"{'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 5}}","{'RMSE': 0.89426164375684203, 'MAE': 0.6912018975885279, 'FCP': 0.66585963842729368}"
50,0.9002715063726647,"{'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 10}}","{'RMSE': 0.90027150637266473, 'MAE': 0.69702597063894833, 'FCP': 0.66392633011641211}"
51,0.9411164660217025,"{'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 100}}","{'RMSE': 0.94111646602170251, 'MAE': 0.73360178735065862, 'FCP': 0.65248113671521923}"
52,0.8952280166169253,"{'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 1}}","{'RMSE': 0.8952280166169253, 'MAE': 0.68997876334391306, 'FCP': 0.66620966344895594}"
53,0.8940906501982834,"{'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 5}}","{'RMSE': 0.89409065019828338, 'MAE': 0.69128075350122642, 'FCP': 0.66594709143439412}"
54,0.9000389620195083,"{'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 10}}","{'RMSE': 0.90003896201950828, 'MAE': 0.69712728997573725, 'FCP': 0.66381019243491024}"
55,0.9406991001495509,"{'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 100}}","{'RMSE': 0.94069910014955094, 'MAE': 0.73384068853475581, 'FCP': 0.65243985974714014}"
56,0.8964023419110208,"{'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 1}}","{'RMSE': 0.89640234191102075, 'MAE': 0.69122268651766317, 'FCP': 0.6658662679564189}"
57,0.8950673736544313,"{'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 5}}","{'RMSE': 0.89506737365443134, 'MAE': 0.69239333749785681, 'FCP': 0.66612588283931562}"
58,0.9008755442483996,"{'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 10}}","{'RMSE': 0.90087554424839955, 'MAE': 0.69822227693337868, 'FCP': 0.66370104085058146}"
59,0.941189497088631,"{'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 100}}","{'RMSE': 0.94118949708863098, 'MAE': 0.7354116653777385, 'FCP': 0.65298027224594779}"
60,0.9086416234772374,"{'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 1}}","{'RMSE': 0.90864162347723743, 'MAE': 0.70157947057973669, 'FCP': 0.66473795433042626}"
61,0.9065428736711534,"{'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 5}}","{'RMSE': 0.90654287367115338, 'MAE': 0.70211720140148759, 'FCP': 0.66571931521707961}"
62,0.9118446120254695,"{'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 10}}","{'RMSE': 0.91184461202546951, 'MAE': 0.70806525524497876, 'FCP': 0.66401419159852204}"
63,0.9511902948470258,"{'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 100}}","{'RMSE': 0.95119029484702577, 'MAE': 0.74880149957817699, 'FCP': 0.65435202643806512}"
